Day,Weather,Temperature,Humidity,Wind,Play Football?
Day 573,Sunny,Hot,Normal,Strong,Yes
Day 574,Sunny,Mild,High,Strong,No
Day 575,Sunny,Mild,High,Weak,No
Day 576,Sunny,Mild,Normal,Strong,Yes
Day 577,Rain,Mild,High,Strong,No
Day 578,Cloudy,Hot,Normal,Weak,Yes
Day 579,Rain,Mild,Normal,Strong,No
Day 580,Cloudy,Hot,High,Strong,Yes
Day 581,Rain,Cool,Normal,Weak,Yes
Day 582,Sunny,Hot,High,Strong,No
Day 583,Rain,Cool,High,Strong,No
Day 584,Cloudy,Hot,High,Strong,Yes
Day 585,Sunny,Hot,High,Strong,No
Day 586,Rain,Mild,Normal,Weak,Yes
Day 587,Sunny,Mild,High,Strong,No
Day 588,Sunny,Mild,High,Weak,No
Day 589,Sunny,Hot,High,Weak,No
Day 590,Cloudy,Hot,Normal,Weak,Yes
Day 591,Rain,Mild,High,Strong,No
Day 592,Cloudy,Mild,Normal,Strong,Yes
Day 593,Rain,Mild,High,Strong,No
Day 594,Cloudy,Hot,High,Strong,Yes
Day 595,Rain,Cool,High,Weak,Yes
Day 596,Cloudy,Mild,High,Strong,Yes
Day 597,Rain,Mild,Normal,Weak,Yes
Day 598,Rain,Mild,Normal,Weak,Yes
Day 599,Rain,Cool,High,Weak,Yes
Day 600,Sunny,Hot,High,Weak,Yes
Day 601,Rain,Cool,Normal,Strong,No
Day 602,Sunny,Hot,High,Strong,No
Day 603,Sunny,Mild,Normal,Weak,Yes
Day 604,Rain,Cool,High,Weak,Yes
Day 605,Rain,Cool,Normal,Strong,No
Day 606,Rain,Cool,Normal,Strong,No
Day 607,Cloudy,Mild,High,Weak,Yes
Day 608,Rain,Mild,High,Strong,No
Day 609,Rain,Cool,High,Strong,No
Day 610,Cloudy,Hot,Normal,Strong,Yes
Day 611,Rain,Cool,High,Weak,Yes
Day 612,Cloudy,Hot,Normal,Weak,Yes
Day 613,Cloudy,Mild,High,Weak,Yes
Day 614,Sunny,Hot,High,Weak,No
Day 615,Rain,Cool,Normal,Weak,Yes
Day 616,Rain,Mild,High,Strong,No
Day 617,Rain,Mild,High,Weak,Yes
Day 618,Cloudy,Mild,Normal,Strong,Yes
Day 619,Sunny,Hot,Normal,Weak,Yes
Day 620,Cloudy,Hot,Normal,Strong,No
Day 621,Rain,Cool,Normal,Weak,Yes
Day 622,Rain,Cool,High,Weak,Yes
Day 623,Rain,Cool,High,Weak,Yes
Day 624,Rain,Cool,High,Weak,Yes
Day 625,Sunny,Hot,High,Strong,No
Day 626,Sunny,Mild,High,Strong,No
Day 627,Rain,Mild,High,Weak,Yes
Day 628,Rain,Cool,High,Strong,No
Day 629,Rain,Mild,Normal,Strong,No
Day 630,Sunny,Hot,Normal,Weak,Yes
Day 631,Sunny,Mild,High,Weak,No
Day 632,Rain,Mild,High,Weak,Yes
Day 633,Sunny,Mild,High,Weak,No
Day 634,Rain,Cool,High,Weak,Yes
Day 635,Rain,Cool,High,Weak,Yes
Day 636,Sunny,Mild,Normal,Weak,Yes
Day 637,Sunny,Mild,High,Strong,No
Day 638,Cloudy,Hot,High,Weak,Yes
Day 639,Cloudy,Mild,Normal,Weak,Yes
Day 640,Sunny,Mild,Normal,Weak,Yes
Day 641,Cloudy,Cool,Normal,Strong,Yes
Day 642,Sunny,Hot,Normal,Strong,No
Day 643,Sunny,Mild,Normal,Weak,Yes
Day 644,Cloudy,Cool,Normal,Strong,Yes
Day 645,Sunny,Mild,High,Weak,No
Day 646,Rain,Mild,Normal,Strong,Yes
Day 647,Sunny,Mild,High,Weak,No
Day 648,Sunny,Mild,High,Strong,No
Day 649,Cloudy,Hot,High,Weak,Yes
Day 650,Cloudy,Cool,High,Weak,Yes
Day 651,Cloudy,Cool,Normal,Weak,Yes
Day 652,Rain,Mild,High,Strong,No
Day 653,Cloudy,Hot,High,Weak,Yes
Day 654,Sunny,Hot,Normal,Weak,Yes
Day 655,Rain,Mild,High,Strong,No
Day 656,Sunny,Hot,High,Weak,No
Day 657,Sunny,Mild,Normal,Weak,Yes
Day 658,Cloudy,Cool,High,Strong,Yes
Day 659,Rain,Cool,Normal,Weak,Yes
Day 660,Rain,Mild,High,Weak,Yes
Day 661,Rain,Mild,Normal,Strong,No
Day 662,Rain,Mild,High,Strong,No
Day 663,Cloudy,Hot,Normal,Weak,Yes
Day 664,Cloudy,Mild,High,Weak,Yes
Day 665,Sunny,Hot,High,Weak,No
Day 666,Rain,Cool,High,Weak,Yes
Day 667,Rain,Mild,Normal,Strong,No
Day 668,Rain,Cool,High,Weak,Yes
Day 669,Sunny,Mild,Normal,Strong,Yes
Day 670,Cloudy,Cool,Normal,Strong,Yes
Day 671,Cloudy,Cool,Normal,Strong,Yes
Day 672,Cloudy,Hot,Normal,Weak,Yes
Day 673,Sunny,Hot,Normal,Weak,Yes
Day 674,Sunny,Mild,High,Weak,No
Day 675,Cloudy,Cool,High,Weak,Yes
Day 676,Cloudy,Hot,High,Strong,Yes
Day 677,Cloudy,Mild,High,Weak,Yes
Day 678,Sunny,Hot,Normal,Strong,Yes
Day 679,Cloudy,Hot,Normal,Strong,No
Day 680,Sunny,Mild,High,Strong,No
Day 681,Sunny,Hot,High,Weak,No
Day 682,Rain,Mild,High,Strong,No
Day 683,Cloudy,Mild,Normal,Strong,Yes
Day 684,Rain,Mild,High,Weak,Yes
Day 685,Sunny,Mild,Normal,Strong,Yes
Day 686,Sunny,Hot,High,Strong,No
Day 687,Sunny,Hot,High,Weak,No
Day 688,Sunny,Hot,Normal,Weak,Yes
Day 689,Rain,Mild,Normal,Weak,Yes
Day 690,Sunny,Mild,High,Strong,No
Day 691,Sunny,Mild,High,Strong,No
Day 692,Rain,Cool,Normal,Strong,No
Day 693,Rain,Mild,High,Weak,Yes
Day 694,Sunny,Hot,High,Strong,No
Day 695,Sunny,Hot,High,Strong,No
Day 696,Cloudy,Mild,High,Strong,Yes
Day 697,Sunny,Hot,Normal,Strong,Yes
Day 698,Sunny,Mild,High,Weak,No
Day 699,Rain,Cool,Normal,Strong,No
Day 700,Sunny,Mild,Normal,Weak,Yes
Day 701,Rain,Mild,High,Weak,Yes
Day 702,Cloudy,Hot,High,Weak,Yes
Day 703,Cloudy,Cool,High,Weak,Yes
Day 704,Rain,Mild,Normal,Weak,Yes
Day 705,Rain,Mild,High,Weak,Yes
Day 706,Sunny,Hot,Normal,Weak,Yes
Day 707,Cloudy,Mild,High,Weak,Yes
Day 708,Rain,Cool,High,Strong,No
Day 709,Rain,Cool,Normal,Strong,No
Day 710,Rain,Mild,Normal,Weak,Yes
Day 711,Rain,Mild,High,Weak,Yes
Day 712,Rain,Cool,High,Strong,Yes
Day 713,Rain,Mild,High,Weak,Yes
Day 714,Sunny,Mild,High,Strong,No
Day 715,Rain,Cool,High,Strong,No
Day 716,Cloudy,Mild,Normal,Strong,Yes
Day 717,Cloudy,Mild,High,Weak,Yes
Day 718,Cloudy,Hot,High,Strong,Yes
Day 719,Rain,Mild,Normal,Strong,No
Day 720,Sunny,Mild,Normal,Strong,Yes
Day 721,Sunny,Mild,Normal,Weak,Yes
Day 722,Sunny,Mild,High,Weak,No
Day 723,Rain,Cool,High,Weak,No
Day 724,Cloudy,Cool,High,Weak,Yes
Day 725,Rain,Mild,High,Weak,Yes
Day 726,Rain,Mild,High,Weak,Yes
Day 727,Cloudy,Mild,Normal,Strong,Yes
Day 728,Cloudy,Mild,Normal,Strong,Yes
Day 729,Rain,Cool,High,Strong,No
Day 730,Sunny,Hot,High,Strong,No
Day 731,Cloudy,Mild,Normal,Strong,Yes
Day 732,Rain,Mild,Normal,Weak,Yes
Day 733,Sunny,Mild,High,Strong,No
Day 734,Cloudy,Hot,High,Strong,Yes
Day 735,Sunny,Hot,Normal,Weak,Yes
Day 736,Rain,Mild,High,Weak,Yes
Day 737,Rain,Cool,Normal,Strong,No
Day 738,Rain,Mild,High,Strong,No
Day 739,Rain,Mild,High,Strong,Yes
Day 740,Cloudy,Cool,High,Strong,Yes
Day 741,Sunny,Hot,High,Weak,No
Day 742,Rain,Cool,High,Weak,Yes
Day 743,Rain,Mild,High,Strong,No
Day 744,Cloudy,Mild,High,Weak,Yes
Day 745,Cloudy,Hot,High,Weak,Yes
Day 746,Cloudy,Cool,Normal,Weak,Yes
Day 747,Rain,Cool,High,Weak,Yes
Day 748,Rain,Mild,High,Strong,No
Day 749,Rain,Mild,Normal,Weak,Yes
Day 750,Sunny,Hot,Normal,Strong,Yes
Day 751,Rain,Cool,Normal,Strong,No
Day 752,Rain,Cool,Normal,Weak,Yes
Day 753,Sunny,Hot,High,Weak,No
Day 754,Rain,Mild,Normal,Weak,Yes
Day 755,Sunny,Hot,Normal,Strong,Yes
Day 756,Rain,Cool,Normal,Weak,Yes
Day 757,Cloudy,Hot,Normal,Strong,Yes
Day 758,Rain,Mild,Normal,Strong,No
Day 759,Rain,Cool,High,Strong,No
Day 760,Sunny,Mild,Normal,Strong,Yes
Day 761,Sunny,Hot,High,Strong,No
Day 762,Sunny,Hot,Normal,Strong,Yes
Day 763,Rain,Cool,High,Strong,No
Day 764,Cloudy,Cool,High,Strong,Yes
Day 765,Rain,Mild,High,Strong,No
Day 766,Rain,Mild,Normal,Strong,No
Day 767,Sunny,Mild,High,Weak,No
Day 768,Sunny,Mild,High,Weak,No
Day 769,Rain,Cool,Normal,Strong,No
Day 770,Rain,Cool,Normal,Strong,No
Day 771,Cloudy,Mild,High,Weak,Yes
Day 772,Sunny,Mild,High,Strong,No
Day 773,Sunny,Hot,High,Weak,No
Day 774,Cloudy,Cool,High,Strong,Yes
Day 775,Rain,Mild,Normal,Strong,No
Day 776,Cloudy,Cool,High,Weak,Yes
Day 777,Rain,Cool,High,Strong,No
Day 778,Cloudy,Mild,High,Strong,Yes
Day 779,Rain,Cool,High,Strong,No
Day 780,Sunny,Mild,Normal,Strong,Yes
Day 781,Cloudy,Mild,High,Weak,No
Day 782,Sunny,Hot,Normal,Strong,Yes
Day 783,Rain,Mild,Normal,Weak,Yes
Day 784,Rain,Cool,Normal,Strong,No
Day 785,Cloudy,Cool,Normal,Strong,Yes
Day 786,Sunny,Hot,Normal,Weak,Yes
Day 787,Sunny,Mild,Normal,Strong,Yes
Day 788,Rain,Mild,High,Strong,No
Day 789,Cloudy,Mild,Normal,Weak,Yes
Day 790,Rain,Cool,Normal,Strong,No
Day 791,Cloudy,Cool,High,Weak,Yes
Day 792,Rain,Mild,Normal,Strong,Yes
Day 793,Sunny,Hot,Normal,Strong,Yes
Day 794,Rain,Mild,Normal,Strong,No
Day 795,Rain,Cool,Normal,Weak,Yes
Day 796,Sunny,Hot,High,Strong,No
Day 797,Sunny,Hot,Normal,Strong,Yes
Day 798,Rain,Mild,Normal,Weak,Yes
Day 799,Cloudy,Hot,Normal,Weak,Yes
Day 800,Cloudy,Mild,Normal,Weak,Yes
Day 801,Sunny,Mild,High,Weak,No
Day 802,Rain,Mild,Normal,Strong,No
Day 803,Sunny,Mild,High,Weak,No
Day 804,Sunny,Hot,High,Strong,No
Day 805,Sunny,Hot,Normal,Weak,Yes
Day 806,Cloudy,Hot,High,Strong,Yes
Day 807,Sunny,Mild,High,Weak,No
Day 808,Rain,Mild,High,Strong,No
Day 809,Cloudy,Cool,Normal,Strong,Yes
Day 810,Sunny,Mild,High,Strong,No
Day 811,Sunny,Hot,High,Strong,No
Day 812,Rain,Mild,High,Weak,Yes
Day 813,Rain,Mild,Normal,Strong,No
Day 814,Sunny,Mild,High,Strong,No
Day 815,Cloudy,Cool,High,Weak,Yes
Day 816,Cloudy,Hot,High,Weak,Yes
Day 817,Cloudy,Hot,High,Strong,Yes
Day 818,Sunny,Hot,High,Strong,No
Day 819,Sunny,Hot,Normal,Strong,Yes
Day 820,Rain,Cool,High,Weak,Yes
Day 821,Cloudy,Mild,Normal,Strong,Yes
Day 822,Sunny,Hot,Normal,Weak,Yes
Day 823,Rain,Cool,Normal,Weak,Yes
Day 824,Rain,Cool,High,Strong,No
Day 825,Sunny,Hot,Normal,Strong,No
Day 826,Sunny,Mild,High,Weak,No
Day 827,Sunny,Hot,High,Strong,No
Day 828,Cloudy,Cool,High,Weak,Yes
Day 829,Cloudy,Hot,High,Strong,Yes
Day 830,Cloudy,Mild,Normal,Weak,Yes
Day 831,Cloudy,Hot,High,Weak,Yes
Day 832,Rain,Mild,High,Strong,No
Day 833,Sunny,Hot,Normal,Strong,Yes
Day 834,Sunny,Hot,High,Weak,No
Day 835,Cloudy,Cool,Normal,Weak,Yes
Day 836,Cloudy,Mild,High,Weak,Yes
Day 837,Sunny,Mild,Normal,Weak,Yes
Day 838,Cloudy,Cool,High,Weak,Yes
Day 839,Cloudy,Cool,High,Weak,Yes
Day 840,Cloudy,Hot,Normal,Strong,Yes
Day 841,Rain,Cool,High,Weak,Yes
Day 842,Sunny,Mild,Normal,Weak,Yes
Day 843,Rain,Mild,High,Strong,No
Day 844,Cloudy,Cool,Normal,Strong,Yes
Day 845,Cloudy,Hot,High,Strong,Yes
Day 846,Sunny,Hot,Normal,Weak,Yes
Day 847,Cloudy,Mild,High,Strong,Yes
Day 848,Sunny,Mild,Normal,Weak,Yes
Day 849,Sunny,Mild,Normal,Weak,Yes
Day 850,Rain,Cool,Normal,Weak,Yes
Day 851,Sunny,Hot,Normal,Strong,Yes
Day 852,Rain,Cool,Normal,Weak,Yes
Day 853,Rain,Cool,Normal,Weak,Yes
Day 854,Sunny,Mild,High,Strong,No
Day 855,Rain,Cool,Normal,Weak,Yes
Day 856,Cloudy,Cool,High,Weak,Yes
Day 857,Cloudy,Mild,Normal,Strong,Yes
Day 858,Rain,Mild,High,Weak,Yes
Day 859,Rain,Cool,High,Weak,Yes
Day 860,Cloudy,Cool,High,Strong,Yes
Day 861,Sunny,Hot,Normal,Weak,Yes
Day 862,Cloudy,Mild,High,Weak,Yes
Day 863,Cloudy,Hot,Normal,Weak,Yes
Day 864,Cloudy,Hot,High,Weak,Yes
Day 865,Rain,Mild,Normal,Strong,No
Day 866,Cloudy,Hot,Normal,Weak,No
Day 867,Cloudy,Hot,High,Strong,Yes
Day 868,Sunny,Hot,High,Strong,No
Day 869,Rain,Cool,Normal,Weak,Yes
Day 870,Rain,Cool,High,Strong,No
Day 871,Rain,Cool,High,Weak,Yes
Day 872,Cloudy,Cool,Normal,Weak,Yes
Day 873,Cloudy,Hot,High,Strong,Yes
Day 874,Sunny,Hot,High,Weak,No
Day 875,Rain,Mild,Normal,Weak,Yes
Day 876,Sunny,Hot,Normal,Strong,Yes
Day 877,Cloudy,Cool,Normal,Strong,Yes
Day 878,Cloudy,Mild,Normal,Weak,Yes
Day 879,Rain,Mild,Normal,Weak,Yes
Day 880,Rain,Mild,Normal,Strong,No
Day 881,Rain,Cool,Normal,Weak,Yes
Day 882,Cloudy,Hot,Normal,Weak,Yes
Day 883,Sunny,Mild,High,Strong,No
Day 884,Sunny,Hot,High,Strong,No
Day 885,Sunny,Mild,Normal,Strong,Yes
Day 886,Cloudy,Cool,High,Weak,Yes
Day 887,Rain,Cool,Normal,Weak,Yes
Day 888,Sunny,Mild,Normal,Weak,Yes
Day 889,Cloudy,Cool,High,Weak,Yes
Day 890,Sunny,Hot,High,Strong,No
Day 891,Sunny,Hot,High,Strong,No
Day 892,Rain,Mild,High,Weak,Yes
Day 893,Sunny,Hot,High,Strong,No
Day 894,Cloudy,Mild,High,Weak,Yes
Day 895,Sunny,Mild,Normal,Weak,Yes
Day 896,Sunny,Hot,Normal,Weak,Yes
Day 897,Sunny,Mild,Normal,Weak,Yes
Day 898,Sunny,Hot,High,Strong,No
Day 899,Cloudy,Mild,High,Strong,Yes
Day 900,Rain,Cool,High,Strong,No
Day 901,Cloudy,Mild,High,Weak,Yes
Day 902,Cloudy,Mild,Normal,Weak,Yes
Day 903,Cloudy,Cool,Normal,Weak,Yes
Day 904,Rain,Cool,Normal,Strong,No
Day 905,Sunny,Mild,High,Strong,No
Day 906,Sunny,Mild,High,Strong,No
Day 907,Sunny,Mild,Normal,Weak,Yes
Day 908,Sunny,Mild,High,Weak,No
Day 909,Rain,Cool,Normal,Weak,Yes
Day 910,Cloudy,Mild,High,Weak,Yes
Day 911,Cloudy,Mild,High,Weak,Yes
Day 912,Cloudy,Mild,High,Strong,No
Day 913,Rain,Cool,High,Weak,Yes
Day 914,Sunny,Mild,Normal,Strong,Yes
Day 915,Sunny,Mild,High,Weak,No
Day 916,Cloudy,Hot,High,Weak,Yes
Day 917,Rain,Mild,High,Weak,Yes
Day 918,Cloudy,Mild,Normal,Strong,No
Day 919,Rain,Cool,Normal,Weak,Yes
Day 920,Rain,Mild,High,Strong,No
Day 921,Rain,Cool,High,Weak,Yes
Day 922,Cloudy,Cool,High,Weak,Yes
Day 923,Cloudy,Mild,High,Strong,Yes
Day 924,Sunny,Mild,Normal,Strong,Yes
Day 925,Rain,Mild,Normal,Strong,No
Day 926,Sunny,Mild,High,Weak,No
Day 927,Sunny,Hot,High,Strong,No
Day 928,Sunny,Mild,Normal,Strong,Yes
Day 929,Rain,Cool,High,Strong,No
Day 930,Cloudy,Cool,Normal,Weak,Yes
Day 931,Rain,Cool,High,Weak,No
Day 932,Rain,Mild,Normal,Weak,No
Day 933,Cloudy,Hot,Normal,Strong,Yes
Day 934,Rain,Mild,Normal,Strong,No
Day 935,Sunny,Hot,Normal,Strong,Yes
Day 936,Sunny,Hot,High,Strong,No
Day 937,Sunny,Mild,High,Weak,No
Day 938,Cloudy,Mild,High,Weak,Yes
Day 939,Sunny,Mild,High,Weak,No
Day 940,Cloudy,Cool,High,Strong,Yes
Day 941,Rain,Cool,Normal,Strong,No
Day 942,Sunny,Hot,Normal,Strong,Yes
Day 943,Cloudy,Cool,Normal,Strong,Yes
Day 944,Sunny,Mild,High,Weak,No
Day 945,Rain,Mild,High,Strong,No
Day 946,Sunny,Mild,Normal,Weak,Yes
Day 947,Rain,Cool,High,Weak,Yes
Day 948,Rain,Mild,High,Strong,No
Day 949,Rain,Cool,Normal,Weak,Yes
Day 950,Sunny,Hot,Normal,Strong,Yes
Day 951,Rain,Mild,High,Strong,Yes
Day 952,Rain,Cool,High,Strong,No
Day 953,Cloudy,Cool,High,Weak,Yes
Day 954,Rain,Cool,Normal,Weak,Yes
Day 955,Rain,Cool,Normal,Weak,Yes
Day 956,Sunny,Hot,High,Strong,No
Day 957,Sunny,Hot,High,Weak,Yes
Day 958,Cloudy,Hot,High,Strong,Yes
Day 959,Rain,Cool,High,Strong,No
Day 960,Cloudy,Cool,Normal,Strong,No
Day 961,Rain,Mild,Normal,Strong,Yes
Day 962,Rain,Mild,Normal,Weak,Yes
Day 963,Cloudy,Hot,Normal,Weak,Yes
Day 964,Rain,Mild,High,Weak,Yes
Day 965,Sunny,Hot,Normal,Strong,Yes
Day 966,Rain,Cool,Normal,Weak,Yes
Day 967,Cloudy,Hot,High,Weak,Yes
Day 968,Cloudy,Hot,Normal,Strong,Yes
Day 969,Cloudy,Cool,High,Strong,Yes
Day 970,Rain,Cool,High,Weak,Yes
Day 971,Cloudy,Hot,High,Weak,Yes
Day 972,Sunny,Mild,High,Weak,No
Day 973,Cloudy,Cool,Normal,Strong,No
Day 974,Cloudy,Hot,High,Strong,Yes
Day 975,Sunny,Mild,High,Weak,No
Day 976,Cloudy,Mild,Normal,Strong,Yes
Day 977,Cloudy,Mild,Normal,Weak,Yes
Day 978,Cloudy,Mild,Normal,Strong,Yes
Day 979,Rain,Cool,Normal,Weak,Yes
Day 980,Sunny,Mild,Normal,Strong,Yes
Day 981,Cloudy,Cool,Normal,Strong,Yes
Day 982,Sunny,Hot,High,Weak,No
Day 983,Cloudy,Cool,Normal,Strong,Yes
Day 984,Rain,Cool,High,Strong,No
Day 985,Cloudy,Hot,Normal,Weak,Yes
Day 986,Sunny,Mild,Normal,Weak,Yes
Day 987,Cloudy,Hot,Normal,Strong,Yes
Day 988,Sunny,Hot,Normal,Strong,Yes
Day 989,Sunny,Hot,Normal,Strong,Yes
Day 990,Sunny,Mild,High,Weak,No
Day 991,Rain,Mild,Normal,Strong,No
Day 992,Sunny,Mild,High,Strong,No
Day 993,Sunny,Mild,Normal,Strong,Yes
Day 994,Sunny,Hot,High,Strong,No
Day 995,Sunny,Mild,High,Strong,No
Day 996,Rain,Mild,Normal,Weak,Yes
Day 997,Rain,Mild,Normal,Strong,No
Day 998,Sunny,Mild,Normal,Strong,Yes
Day 999,Sunny,Mild,Normal,Strong,Yes
Day 1000,Sunny,Hot,High,Weak,No
